path,year,original_classification,mirror_classification,original_checksum,mirror_checksum
racing2000/paceship3.htm,2000,legacy-result,legacy-result,e73628582015421d897a8813888e56d2887f21ef8a5fc5bf718f7d10ba6eb93a,404cb55ec64cacfbffe1db366d3b7eed27b489517d1952b5c3bdc88ce7d58f12
racing2000/paceship4.htm,2000,legacy-result,legacy-result,0fab5b2b941790e58b5561a693dc6a94331e9469f0e5056ba145791075e37ea3,3969f924ea9c31fde870aeb844b13ce409b248780ad6fb80bfbd5f2c9cb0b958
racing2000/paceship_series.htm,2000,legacy-result,legacy-result,a5bd5298547126c81dd797ae5b5ae1d4b7cc42ffe66978fad66fc52659652446,d5091e4948cf076ce9c0298f1bf7fa196f36e1b7e7ca8dbef79434991a4feb34
racing2000/photos.htm,2000,gallery,gallery,4d71ffe1dbc3e818f0dac22d8ab57bf29ba3167a1ec1e97cd7f999e5948c2e27,bda469b129c866cd0d0924d845964c3a16981f9c16c9cf39bd81f33cb55fe5b4
racing2000/racing.htm,2000,legacy-index,legacy-index,0292bb95db630a714a84a414b18aa7622fa66e32355729c90341a2736ccbd5e5,29b9f7204c11dc0c4c22dc09ed9eea3ddd179fe287331e4cefc04d236f42af29
racing2000/sauerkraut.htm,2000,legacy-result,legacy-result,f3b1c10c9cbadbf4ade2edada7e47747849f1b6dd8c8314a95bea68fc287d359,247c2d4f4bfae21f05dab6994f17a4712c0b05004db171c68a971950bdacb0c5
racing2000/scotia1.htm,2000,legacy-result,legacy-result,8ad664c2d9b792c92d236d97843cbad7c120f80cedf0047c1e4f5165860dde11,0698104866d1ba6f83c76b78af626bf015eea288e11021dc6c309972827d93b3
racing2000/scotia2.htm,2000,legacy-result,legacy-result,6040a56ce9ab3151603e41fd18e05f443af9c459124b60ecec433fc15a147c5c,71e1ea073b402150c959d857109c77d33a6dccd990180e850d52a2502ac93cad
racing2000/scotia3.htm,2000,legacy-result,legacy-result,12785fc0d54f0304c9e537dc2ac687f52771b4cb2234519b98476da5563eeb12,cfa75f9db2ab488ce941c9ff07181a95f5e0de32cacf28a672dd2654cd4c9949
racing2000/scotia4.htm,2000,legacy-result,legacy-result,16225cc07779d66a2969c293e938e8c958801161f1731fd2a6c659a3e703b883,33a4738affc06fcb7931f607cfe0698d4c65d4c212c21be1620e25a932e9935d
racing2000/scotia_series.htm,2000,legacy-result,legacy-result,bbc73f77e6377e363842d21df6dcffc91240ffd509a175a1d7e80e428290e214,ce16b749cd617357edcc42a4b3c7acd42bf434e1626724fb0e38f0e24204fa84
racing2000/thrash.htm,2000,legacy-result,legacy-result,13a90ffe43868c60903a16e63c45a9a90193365136a3721d2d88d27b74b213fc,73150a14b2ec68391131d72246642b45311ce1dd38d971c0d92b868b248b33cc
racing2001/2001_Handicap_System.htm,2001,legacy-result,legacy-result,4e8419dd38ddf4456457541a17541178622547d65d43e7926b67c49ec915200b,f4cea0a54731ea58d4bd30a2c2e7c73863cfe7684f7e0bcdcd9e6bde03641387
racing2001/2001_Sailing_Instructions.htm,2001,legacy-result,legacy-result,306ab444ae3aad2cb82293b842b93c7800bea0a40edc74eff4f934976c62fd79,bf746e30bae268c3d4e1f10ecc9e9ee7ce69aa4d00c13ec47333c255f6ac3653
racing2001/2001_espn.htm,2001,unknown,unknown,ad8c21b14297ddb20d5f26c61efed55345ba4d24527e7ddf2525a768986f2429,f54650ae5907d3ae4cc243fa13815dcdbe4faca886d38495bcbb16b17e4b7522
racing2001/LYC_Handicaps_May_June_2001.htm,2001,non-result-html,non-result-html,90d15633444862a44e522c98c567f729ab040b7a3b3af13e840e97e901ec6e9e,45121f71f99499a460bd390e0ae506d0bdf1c69bec81472dee016a6e6a1093ee
racing2001/MBC_Cup.htm,2001,legacy-result,legacy-result,58686c7ae0c70f2e8c8843fe09c508a27ccf24724f50f61b72cbe6fd10ef8b71,bb1675fa78d070c02e228da8c2bc56adcdf9db8660db8cff2ed4b40de3d7bad9
racing2001/aug2001_espn.htm,2001,unknown,unknown,565445289c1861403f7f2ce9473d444f610e1f52ed59d823997a36d0c96df12b,4b98b2c428e4e41c5d56656f855c298405ad6cfa16f8cc06c95243de5d2dfc0f
racing2001/bolands.htm,2001,legacy-result,legacy-result,d53002bcb21cf6b79942e89028afee0d0be07209feca4aba7f207d39c8834ed0,822b5d65013bd1024d221b3ad7c04ea65f1c5d40a39024b379e400b1c961b447
racing2001/charter.htm,2001,legacy-result,legacy-result,ff6d0b99442cc8daed333a1f53b8f42e74b9960b2762f010573e84d062a7bd3b,318841973d74d49c6843c733da1b991f35672845cc359858198865961fcd866d
racing2001/commodores_cup.htm,2001,legacy-result,legacy-result,c016d6537a9aaaa2ceb944436b41fbcd9fa3575258d402397da57717db523064,a1c688faaa0c5bf472fd1f5190b97cd63f644b3d8e8f8171ed469fbe94067c8a
racing2001/crew.htm,2001,legacy-result,legacy-result,f6d16d88b2cbadaa6e3e27099d5e45c354c18362bc4681766c33410734400285,9c5011ac5057cca05bcfec69d0e13a073ddab2fab4718d54fc85314e50d22f7a
racing2001/crown_diamond.htm,2001,legacy-result,legacy-result,0ea923e32ea942303e9bde2b8a5945dc156540cbf2c2e89a4b450bbf119dc690,cfe672cc0971bee02ed869fd28773ff44a6abeff1c4d8db90acfdb5c16eada9b
racing2001/fisheries_c.htm,2001,legacy-result,legacy-result,3484771c8830e8ad9bcf51d06798f8fab6d6c2fd9afd801b7dd3759d56ce7465,debb0b8f15378863609b1d5b46374bfac570426729d44cc4f7c3bc8fcbb9ed89
racing2001/glube1.htm,2001,legacy-result,legacy-result,f321b0e7cc9f738cb1b9f123700a75ff786a175072a29800589b51324489593e,a4c7fccbcbbc653e32bbaf5bc90eeef034a09342ade31dc782a49eebbefbf55d
racing2001/glube2.htm,2001,legacy-result,legacy-result,3ce8d6ae028258ad1310c4984550b76a8b29fb11fd4a6e25784a09f8cb643cdf,2c1ff1f7d02ad36691e66a5b166a997c9c14584482d7b542a6e8d72723de5722
racing2001/glube3.htm,2001,legacy-result,legacy-result,d3c4c73448a3dc7a121b5093d7c8b91256b5547408a49aa185aefd1ab17f4f6b,a34ff8a2b0003058c8965b3284b08033b2243829f87abaa4918b1a5eed5338fe
racing2001/glube4.htm,2001,legacy-result,legacy-result,40bc7b0d4d0bdcc08557dd029eda1ecbdb57634db9a27849096a73a1aaae1297,acdb7427d1737ccd058e11f64d61d17eda686f2add51313b2b0fbe1edba7c2d1
racing2001/glube_series.htm,2001,legacy-result,legacy-result,e2561614ed55957543f2f6261750e75c36f18f130cf2c9e17d8a31beaf31b40f,fde4799c05adb5d1ac20f194babb63563d3e9907c005b84f72120dc903be7eff
racing2001/jf_stevens.htm,2001,legacy-result,legacy-result,a9ff6c3378622a1ee97f5cb4ed2bfc2348b2edb6c1a4e6a0b40707be2b20779e,260c3721ce54feda31ce09fafd1a2e6bc61e30e043b44a3407e8abd79706d18b
racing2001/july2001_espn.htm,2001,unknown,unknown,93631c3a568a810dc55acfe5d32bd8ff12839eb37deda56e515f840cac6b2d71,d872bb29eb3689ad373b0ddbbca6a8a242b375d511a76beef4d912f8b77797f1
racing2001/june2001_espn.htm,2001,unknown,unknown,e6553b357a099d39d7c7ce9908944a4befa82b1b3f8a36f929a52cbde6b6df7e,7734d8df73b5f604db0e9b8d804a6a795b96ec89edb4b64544d595bd0b9f4930
racing2001/leeward_island.htm,2001,legacy-result,legacy-result,d3ffc7ae35d2035f844847376e62c6f673e7f4c8110ef8ab2e7f8f64d435f5af,4ed4be68bc463be13f059ffe9b304686b2008b5d9bf8ae811fde03a32935d5d8
racing2001/macdonald_trophy.htm,2001,legacy-result,legacy-result,8c16954eb780a91589c1bc2e6b56de55e2a63929786da8ff7d02b250d1ff3a89,a8714ff0eb910a6a790100b9e748924099cf7e4bdbdd8dfed2b30286672b51ed
racing2001/martin_fielding.htm,2001,legacy-result,legacy-result,cb46409214c5038477969616ad9aa055259c9d080b3bb736bdac1493bce0b947,a4a19b5cb56519ca240c7bc930d9fc1788885c0a6b623c86462d8e714ee01808
